country,retailer,match_key,brand_current,product_name_current,price_usd_current,brand_previous,product_name_previous,price_usd_previous,_merge,price_change_pct
Dominican Republic,Bravo,2100003088215,Bravo,Bravo Tortilla Trigo,1.08,Bravo,Bravo Tortilla Trigo Integral,1.25,both,-13.599999999999996
Dominican Republic,Bravo,2100003088215,Bravo,Bravo Tortilla Trigo,1.08,Old El Paso,Tortilla De Trigo 6 Old El Paso,5.53,both,-80.47016274864376
Dominican Republic,Bravo,2100003088215,Bravo,Bravo Tortilla Trigo,1.08,Toufayan,Wrap Integral Toufayan,2.36,both,-54.23728813559322
Dominican Republic,Bravo,2100003088215,La Real,La Real Street Tacos Trigo,2.68,Bravo,Bravo Tortilla Trigo Integral,1.25,both,114.4
Dominican Republic,Bravo,2100003088215,La Real,La Real Street Tacos Trigo,2.68,Old El Paso,Tortilla De Trigo 6 Old El Paso,5.53,both,-51.5370705244123
Dominican Republic,Bravo,2100003088215,La Real,La Real Street Tacos Trigo,2.68,Toufayan,Wrap Integral Toufayan,2.36,both,13.559322033898319
Dominican Republic,Bravo,2100003088215,Old El Paso,Tortilla De Trigo 6 Old El Paso,5.53,Bravo,Bravo Tortilla Trigo Integral,1.25,both,342.40000000000003
Dominican Republic,Bravo,2100003088215,Old El Paso,Tortilla De Trigo 6 Old El Paso,5.53,Toufayan,Wrap Integral Toufayan,2.36,both,134.3220338983051
Dominican Republic,Bravo,2100003088215,Toufayan,Wrap Integral Toufayan,2.36,Bravo,Bravo Tortilla Trigo Integral,1.25,both,88.79999999999998
Dominican Republic,Bravo,2100003088215,Toufayan,Wrap Integral Toufayan,2.36,Old El Paso,Tortilla De Trigo 6 Old El Paso,5.53,both,-57.32368896925859
Dominican Republic,Bravo,2100003088239,Bravo,Bravo Tortilla Wrap Espinaca Med,2.04,Bravo,Bravo Burrito Mediano,1.57,both,29.936305732484076
Dominican Republic,Bravo,2100003088239,Bravo,Bravo Tortilla Wrap Espinaca Med,2.04,Old El Paso,Tortilla De Trigo 8 Old El Paso,5.85,both,-65.12820512820512
Dominican Republic,Bravo,2100003088239,Bravo,Bravo Tortilla Wrap Tomate Med,2.04,Bravo,Bravo Burrito Mediano,1.57,both,29.936305732484076
Dominican Republic,Bravo,2100003088239,Bravo,Bravo Tortilla Wrap Tomate Med,2.04,Old El Paso,Tortilla De Trigo 8 Old El Paso,5.85,both,-65.12820512820512
Dominican Republic,Bravo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,5.85,Bravo,Bravo Burrito Mediano,1.57,both,272.6114649681528
Dominican Republic,Bravo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,5.85,Bravo,Bravo Tortilla Wrap Espinaca Med,2.04,both,186.76470588235293
Dominican Republic,Bravo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,5.85,Bravo,Bravo Tortilla Wrap Tomate Med,2.04,both,186.76470588235293
Dominican Republic,Bravo,7466478200053,La Real,La Real Street Tacos Maiz,2.2,Bravo,Bravo Tortillas Maiz,1.57,both,40.127388535031855
Dominican Republic,Bravo,7466478200053,La Real,La Real Street Tacos Maiz,2.2,La Real,La Real Tortillas Mexicanas,2.36,both,-6.77966101694914
Dominican Republic,Bravo,7466478200053,La Real,La Real Street Tacos Maiz,2.2,La Real,Tostada De Maiz Mexicana La Real,3.09,both,-28.802588996763745
Dominican Republic,Bravo,7466478200053,La Real,La Real Tortillas Mexicanas,2.36,Bravo,Bravo Tortillas Maiz,1.57,both,50.31847133757961
Dominican Republic,Bravo,7466478200053,La Real,La Real Tortillas Mexicanas,2.36,La Real,La Real Street Tacos Maiz,2.2,both,7.272727272727258
Dominican Republic,Bravo,7466478200053,La Real,La Real Tortillas Mexicanas,2.36,La Real,Tostada De Maiz Mexicana La Real,3.09,both,-23.624595469255663
Dominican Republic,Bravo,7466478200053,La Real,Tostada De Maiz Mexicana La Real,3.09,Bravo,Bravo Tortillas Maiz,1.57,both,96.8152866242038
Dominican Republic,Bravo,7466478200053,La Real,Tostada De Maiz Mexicana La Real,3.09,La Real,La Real Street Tacos Maiz,2.2,both,40.45454545454544
Dominican Republic,Bravo,7466478200053,La Real,Tostada De Maiz Mexicana La Real,3.09,La Real,La Real Tortillas Mexicanas,2.36,both,30.93220338983051
Dominican Republic,Jumbo,2050000433764,La Panera,Bizcocho De Aro Marmoleado La Panera,3.33,La Panera,Bizcocho De Aro Con Pasas La Panera,2.85,both,16.842105263157894
Dominican Republic,Jumbo,2100003088215,Old El Paso,Tortilla De Trigo 6 Old El Paso,4.53,Toufayan,Wrap Integral Toufayan,2.38,both,90.33613445378154
Dominican Republic,Jumbo,2100003088215,Toufayan,Wrap Integral Toufayan,2.38,Old El Paso,Tortilla De Trigo 6 Old El Paso,4.53,both,-47.46136865342164
Dominican Republic,Jumbo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.82,Tortilla,Tortilla De Trigo Burrito Lider,1.43,both,237.06293706293712
Dominican Republic,Jumbo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.82,La Real,Tortilla De Trigo Grande La Real,3.01,both,60.132890365448525
Dominican Republic,Jumbo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.82,Food Club,Tortillas De Trigo Integral Food Club,2.69,both,79.18215613382901
Dominican Republic,Jumbo,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.82,both,-70.33195020746888
Dominican Republic,Jumbo,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,La Real,Tortilla De Trigo Grande La Real,3.01,both,-52.49169435215947
Dominican Republic,Jumbo,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,Food Club,Tortillas De Trigo Integral Food Club,2.69,both,-46.84014869888476
Dominican Republic,Jumbo,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.82,both,-37.55186721991702
Dominican Republic,Jumbo,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Tortilla,Tortilla De Trigo Burrito Lider,1.43,both,110.48951048951048
Dominican Republic,Jumbo,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Food Club,Tortillas De Trigo Integral Food Club,2.69,both,11.895910780669139
Dominican Republic,Jumbo,2100003088239,Food Club,Tortillas De Trigo Integral Food Club,2.69,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.82,both,-44.19087136929461
Dominican Republic,Jumbo,2100003088239,Food Club,Tortillas De Trigo Integral Food Club,2.69,Tortilla,Tortilla De Trigo Burrito Lider,1.43,both,88.11188811188812
Dominican Republic,Jumbo,2100003088239,Food Club,Tortillas De Trigo Integral Food Club,2.69,La Real,Tortilla De Trigo Grande La Real,3.01,both,-10.631229235880395
Dominican Republic,Jumbo,2100003088239,Toufayan,Wrap Keto Toufayan,4.12,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.82,both,-14.522821576763489
Dominican Republic,Jumbo,2100003088239,Toufayan,Wrap Keto Toufayan,4.12,Tortilla,Tortilla De Trigo Burrito Lider,1.43,both,188.11188811188813
Dominican Republic,Jumbo,2100003088239,Toufayan,Wrap Keto Toufayan,4.12,La Real,Tortilla De Trigo Grande La Real,3.01,both,36.87707641196015
Dominican Republic,Jumbo,2100003088239,Toufayan,Wrap Keto Toufayan,4.12,Food Club,Tortillas De Trigo Integral Food Club,2.69,both,53.159851301115246
Dominican Republic,Jumbo,7466478200053,Food Club,Tortilla De Maiz Para Tacos Food Club,2.53,Maria,Tortilla De Maiz Taco Maria,1.82,both,39.01098901098899
Dominican Republic,Jumbo,7466478200053,Food Club,Tortilla De Maiz Para Tacos Food Club,2.53,La Real,Tostada De Maiz Mexicana La Real,3.09,both,-18.12297734627832
Dominican Republic,Jumbo,7466478200053,Maria,Tortilla De Maiz Taco Maria,1.82,La Real,Tostada De Maiz Mexicana La Real,3.09,both,-41.10032362459546
Dominican Republic,Jumbo,7466478200053,La Real,Tostada De Maiz Mexicana La Real,3.09,Maria,Tortilla De Maiz Taco Maria,1.82,both,69.78021978021977
Dominican Republic,Merca Jumbo,2050000433764,La Panera,Bizcocho De Aro Marmoleado La Panera,3.31,La Panera,Bizcocho De Aro Con Pasas La Panera,2.84,both,16.549295774647895
Dominican Republic,Merca Jumbo,2100003088215,Old El Paso,Tortilla De Trigo 6 Old El Paso,4.5,Toufayan,Wrap Integral Toufayan,2.36,both,90.67796610169493
Dominican Republic,Merca Jumbo,2100003088215,Toufayan,Wrap Integral Toufayan,2.36,Old El Paso,Tortilla De Trigo 6 Old El Paso,4.5,both,-47.55555555555556
Dominican Republic,Merca Jumbo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.79,Tortilla,Tortilla De Trigo Burrito Lider,1.41,both,239.7163120567376
Dominican Republic,Merca Jumbo,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.79,Food Club,Tortillas De Trigo Integral Food Club,3.07,both,56.026058631921835
Dominican Republic,Merca Jumbo,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.41,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.79,both,-70.56367432150313
Dominican Republic,Merca Jumbo,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.41,Food Club,Tortillas De Trigo Integral Food Club,3.07,both,-54.071661237785015
Dominican Republic,Merca Jumbo,2100003088239,Food Club,Tortillas De Trigo Integral Food Club,3.07,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.79,both,-35.908141962421716
Dominican Republic,Merca Jumbo,2100003088239,Food Club,Tortillas De Trigo Integral Food Club,3.07,Tortilla,Tortilla De Trigo Burrito Lider,1.41,both,117.7304964539007
Dominican Republic,Merca Jumbo,2100003088239,Toufayan,Wrap Keto Toufayan,3.3,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.79,both,-31.106471816283932
Dominican Republic,Merca Jumbo,2100003088239,Toufayan,Wrap Keto Toufayan,3.3,Tortilla,Tortilla De Trigo Burrito Lider,1.41,both,134.04255319148936
Dominican Republic,Merca Jumbo,2100003088239,Toufayan,Wrap Keto Toufayan,3.3,Food Club,Tortillas De Trigo Integral Food Club,3.07,both,7.491856677524429
Dominican Republic,Merca Jumbo,2100003235688,Bizcocho,Bizcocho Fresa Redondo,9.89,Bizcocho,Bizcocho Chocolate Redondo,12.26,both,-19.331158238172915
Dominican Republic,Merca Jumbo,7466478200053,Food Club,Tortilla De Maiz Para Tacos Food Club,2.68,Maria,Tortilla De Maiz Taco Maria,1.81,both,48.066298342541444
Dominican Republic,Merca Jumbo,7466478200053,Food Club,Tortilla De Maiz Para Tacos Food Club,2.68,La Real,Tostada De Maiz Mexicana La Real,3.07,both,-12.70358306188924
Dominican Republic,Merca Jumbo,7466478200053,Maria,Tortilla De Maiz Taco Maria,1.81,La Real,Tostada De Maiz Mexicana La Real,3.07,both,-41.04234527687296
Dominican Republic,Merca Jumbo,7466478200053,La Real,Tostada De Maiz Mexicana La Real,3.07,Maria,Tortilla De Maiz Taco Maria,1.81,both,69.61325966850828
Dominican Republic,Nacional,2050000433764,La Panera,Bizcocho De Aro Marmoleado La Panera,3.33,La Panera,Bizcocho De Aro Con Pasas La Panera,2.85,both,16.842105263157894
Dominican Republic,Nacional,2100003088215,Old El Paso,Tortilla De Trigo 6 Old El Paso,4.55,Toufayan,Wrap Integral Toufayan,2.38,both,91.17647058823529
Dominican Republic,Nacional,2100003088215,Toufayan,Wrap Integral Toufayan,2.38,Old El Paso,Tortilla De Trigo 6 Old El Paso,4.55,both,-47.69230769230769
Dominican Republic,Nacional,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,Tortilla,Tortilla De Trigo Burrito Lider,1.43,both,237.7622377622378
Dominican Republic,Nacional,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,La Real,Tortilla De Trigo Grande La Real,3.01,both,60.46511627906979
Dominican Republic,Nacional,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,Tortilla,Tortilla Zero Car La Tortilla Fact,5.39,both,-10.389610389610384
Dominican Republic,Nacional,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,Food Club,Tortillas De Trigo Integral Food Club,2.69,both,79.5539033457249
Dominican Republic,Nacional,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,Wrap,Wrap Powergreen La Tortilla Fact,5.78,both,-16.435986159169552
Dominican Republic,Nacional,2100003088239,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,Toufayan,Wraps Sabor Tomate Seco Toufayan,2.38,both,102.94117647058825
Dominican Republic,Nacional,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,both,-70.39337474120083
Dominican Republic,Nacional,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,La Real,Tortilla De Trigo Grande La Real,3.01,both,-52.49169435215947
Dominican Republic,Nacional,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,Tortilla,Tortilla Zero Car La Tortilla Fact,5.39,both,-73.46938775510205
Dominican Republic,Nacional,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,Food Club,Tortillas De Trigo Integral Food Club,2.69,both,-46.84014869888476
Dominican Republic,Nacional,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,Wrap,Wrap Powergreen La Tortilla Fact,5.78,both,-75.25951557093427
Dominican Republic,Nacional,2100003088239,Tortilla,Tortilla De Trigo Burrito Lider,1.43,Toufayan,Wraps Sabor Tomate Seco Toufayan,2.38,both,-39.91596638655462
Dominican Republic,Nacional,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,both,-37.68115942028986
Dominican Republic,Nacional,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Tortilla,Tortilla De Trigo Burrito Lider,1.43,both,110.48951048951048
Dominican Republic,Nacional,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Tortilla,Tortilla Zero Car La Tortilla Fact,5.39,both,-44.15584415584416
Dominican Republic,Nacional,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Food Club,Tortillas De Trigo Integral Food Club,2.69,both,11.895910780669139
Dominican Republic,Nacional,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Wrap,Wrap Powergreen La Tortilla Fact,5.78,both,-47.92387543252596
Dominican Republic,Nacional,2100003088239,La Real,Tortilla De Trigo Grande La Real,3.01,Toufayan,Wraps Sabor Tomate Seco Toufayan,2.38,both,26.470588235294112
Dominican Republic,Nacional,2100003088239,Tortilla,Tortilla Zero Car La Tortilla Fact,5.39,Old El Paso,Tortilla De Trigo 8 Old El Paso,4.83,both,11.594202898550716
