country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,source_url,standard_category,price_local_numeric,data_quality_brand,data_quality_weight,data_quality_price_kg,scrape_date,source_category,search_term,price_text,price_gyd,image_url,price_per_kg_gyd,page,regional_sku,regional_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Bravo,Bravo,Bravo Galleta Choco Crema,,,129.0,2.04,440 GR,0.44,29.32,4.65,Mainstream,Galleta,https://supermercadosrd.com/productos/bravo-galleta-choco-crema/9067,https://bravova.superbravo.com.do/articulos/22880?utm_source=supermercadosrd,https://supermercadosrd.com/productos/bravo-galleta-choco-crema/9067,Cookies,129.0,OK,OK,OK,,,,,,,,,Bravo_Bravo Galleta Choco Crema,1,0.37077764716317463,Value
Dominican Republic,DOP,Galletas,Bravo,Bravo,Bravo Galleta Maria De Leche,,,137.0,2.17,800 GR,0.8,17.12,2.71,Value,Galleta,https://supermercadosrd.com/productos/bravo-galleta-maria-de-leche/9070,https://bravova.superbravo.com.do/articulos/24223?utm_source=supermercadosrd,https://supermercadosrd.com/productos/bravo-galleta-maria-de-leche/9070,Cookies,137.0,OK,OK,OK,,,,,,,,,Bravo_Bravo Galleta Maria De Leche,1,0.2160876180241297,Value
Dominican Republic,DOP,Galletas,Bravo,Bravo,Bravo Galletas Soda 20 Paq,9999999766254,13,119.0,1.89,600 GR,0.6,19.83,3.14,Value,Salada,https://supermercadosrd.com/productos/bravo-galletas-soda-20-paq/9058,https://bravova.superbravo.com.do/articulos/4555?utm_source=supermercadosrd,https://supermercadosrd.com/productos/bravo-galletas-soda-20-paq/9058,Cookies,119.0,OK,OK,OK,,,,,,,,,9999999766254,1,0.2503745832456706,Value
Dominican Republic,DOP,Galletas,Bravo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://bravova.superbravo.com.do/articulos/3915?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,175.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,160.0,2.54,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://www.garrido.com.do/p/181184?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,160.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://jumbo.com.do/galleta-dulce-sabor-chocolate-dino-10-und-paq-2006518?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,174.95,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://mercajumbo.com.do/?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,174.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://supermercadosnacional.com/galleta-dulce-sabor-chocolate-dino-10-und-paq-2006518?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,174.95,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://plazalama.com.do/p/galletas-sandwich-chocolate-rellenas-de-crema-dino-12-uds-753079000425?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,174.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Ritmo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,145.0,2.3,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://tiendasritmo.com/?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,145.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://sirena.do/products/index/galletas-dulces-dino-chocolate-12-uds?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,Cookies,175.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000425,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Dino,Dino Galleta Sandwich Duplex 12 Und,753079000449,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-duplex-12-und/9118,https://bravova.superbravo.com.do/articulos/3379?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-duplex-12-und/9118,Cookies,175.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000449,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Dino,Dino Galleta Sandwich Duplex 12 Und,753079000449,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-duplex-12-und/9118,https://plazalama.com.do/p/galletas-sandwich-duplex-rellenas-de-crema-dino-12-uds-753079000449?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-duplex-12-und/9118,Cookies,174.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000449,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Dino,Dino Galleta Sandwich Duplex 12 Und,753079000449,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-duplex-12-und/9118,https://sirena.do/products/index/galletas-dulces-dino-duplex-12-uds?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-duplex-12-und/9118,Cookies,175.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000449,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://bravova.superbravo.com.do/articulos/3911?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,175.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,160.0,2.54,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://www.garrido.com.do/p/181186?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,160.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://jumbo.com.do/galleta-dulce-sabor-vainilla-dino-10-und-paq-2010114?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,174.95,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://mercajumbo.com.do/?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,174.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://supermercadosnacional.com/galleta-dulce-sabor-vainilla-dino-10-und-paq-2010114?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,174.95,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://plazalama.com.do/p/galletas-dino-vainilla-rellenas-de-crema-12-uds-753079000487?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,174.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Ritmo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,145.0,2.3,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://tiendasritmo.com/?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,145.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://sirena.do/products/index/galletas-dulces-dino-vainilla-12-uds-?utm_source=supermercadosrd,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,Cookies,175.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,753079000487,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Wala,Galleta Cremosa De Chocolate Wala,170244303299,12,118.0,1.87,10 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/galleta-cremosa-de-chocolate-wala/21460,https://sirena.do/products/index/galleta-cremosa-de-chocolate-wala-10-1?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-cremosa-de-chocolate-wala/21460,Cookies,118.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,170244303299,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,98.0,1.55,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://bravova.superbravo.com.do/articulos/2492?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,Cookies,98.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,90.0,1.43,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://www.garrido.com.do/p/181194?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,Cookies,90.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7467581603885,1,,Market
