search_term,country,currency,category,source_category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,product_name_clean,standard_category,price_local_numeric,scrape_date,price_text,price_gyd,image_url,source_url,price_per_kg_gyd,page,brand_original,barcode_harmonized,sku_text_key,weight_bucket,match_key,family_key,family_overlap,regional_overlap,commercial_overlap,competitive_index,price_positioning
wafer,Dominican Republic,DOP,Galletas,Galletas,Nacional,Ferrero,Barra De Chocolate Con Wafer Y Crema De Avellana Ferrero Tronky,6254180602007,13,54.95,0.87,18 GR,0.018,305.28,48.37,Mass,Wafer,https://supermercadosrd.com/productos/barra-de-chocolate-con-wafer-y-crema-de-avellana-ferrero-tronky/18886,https://supermercadosnacional.com/barra-de-chocolate-con-wafer-y-crema-de-avellana-ferrero-tronky-18-gr-2057153?utm_source=supermercadosrd,Barra De Chocolate Con Wafer Y Crema De Avellana Tronky,Cookies,54.95,,,,,,,,Ferrero,6254180602007,ferrero_barra de chocolate con wafer y crema de avellana ferrero tronky,0.02,6254180602007,ferrero_barra_chocolate_wafer,1,1,1,4.206163085063834,Premium
oreo,Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Oreo,Bolsa Galleta Chocolate Oreo 6 Und,680509614652,12,129.0,2.04,6 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/bolsa-galleta-chocolate-oreo-6-und/42755,https://mercajumbo.com.do/?utm_source=supermercadosrd,Bolsa Galleta Chocolate,Cookies,129.0,,,,,,,,Oreo,0680509614652,oreo_bolsa galleta chocolate oreo 6 und,unknown,0680509614652,oreo_bolsa_galleta_chocolate,1,1,1,,Market
oreo,Dominican Republic,DOP,Galletas,Galletas,Nacional,Oreo,Bolsa Galleta Chocolate Oreo 6 Und,680509614652,12,129.95,2.06,6 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/bolsa-galleta-chocolate-oreo-6-und/42755,https://supermercadosnacional.com/bolsa-galleta-chocolate-oreo-216gr-6-pk-2234191?utm_source=supermercadosrd,Bolsa Galleta Chocolate,Cookies,129.95,,,,,,,,Oreo,0680509614652,oreo_bolsa galleta chocolate oreo 6 und,unknown,0680509614652,oreo_bolsa_galleta_chocolate,1,1,1,,Market
oreo,Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Oreo,Bolsa Galleta Golden Oreo 6 Und,,,129.0,2.04,6 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/bolsa-galleta-golden-oreo-6-und/42756,https://mercajumbo.com.do/?utm_source=supermercadosrd,Bolsa Galleta Golden,Cookies,129.0,,,,,,,,Oreo,,oreo_bolsa galleta golden oreo 6 und,unknown,oreo_bolsa galleta golden oreo 6 und_unknown,oreo_bolsa_galleta_golden,1,1,1,,Market
oreo,Dominican Republic,DOP,Galletas,Galletas,Nacional,Oreo,Bolsa Galleta Golden Oreo 6 Und,,,129.95,2.06,6 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/bolsa-galleta-golden-oreo-6-und/42756,https://supermercadosnacional.com/bolsa-galleta-golden-oreo-216-gr-6-pk-2234190?utm_source=supermercadosrd,Bolsa Galleta Golden,Cookies,129.95,,,,,,,,Oreo,,oreo_bolsa galleta golden oreo 6 und,unknown,oreo_bolsa galleta golden oreo 6 und_unknown,oreo_bolsa_galleta_golden,1,1,1,,Market
oreo,Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Oreo,Bolsa Galleta Oreo 6 Und,1780140856486,13,129.0,2.04,6 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/bolsa-galleta-oreo-6-und/42830,https://mercajumbo.com.do/?utm_source=supermercadosrd,Bolsa Galleta,Cookies,129.0,,,,,,,,Oreo,1780140856486,oreo_bolsa galleta oreo 6 und,unknown,1780140856486,oreo_bolsa_galleta,1,1,1,,Market
oreo,Dominican Republic,DOP,Galletas,Galletas,Nacional,Oreo,Bolsa Galleta Oreo 6 Und,1780140856486,13,129.95,2.06,6 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/bolsa-galleta-oreo-6-und/42830,https://supermercadosnacional.com/bolsa-galleta-oreo-216-gr-6-pk-2232909?utm_source=supermercadosrd,Bolsa Galleta,Cookies,129.95,,,,,,,,Oreo,1780140856486,oreo_bolsa galleta oreo 6 und,unknown,1780140856486,oreo_bolsa_galleta,1,1,1,,Market
club social,Dominican Republic,DOP,Galletas,Galletas,Garrido,Club Social,Club Social Galleta Mantequilla,,,90.0,1.43,219 GR,0.219,41.1,6.51,Mass,Galleta,https://supermercadosrd.com/productos/club-social-galleta-mantequilla/43807,https://www.garrido.com.do/p/374705?utm_source=supermercadosrd,Galleta Mantequilla,Cookies,90.0,,,,,,,,Club Social,,club social_club social galleta mantequilla,0.22,club social_club social galleta mantequilla_0.22,club social_galleta_mantequilla,1,1,1,0.5660972024760298,Value
galletas,Dominican Republic,DOP,Galletas,Galletas,Bravo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://bravova.superbravo.com.do/articulos/3915?utm_source=supermercadosrd,Dino Chocolate,Cookies,175.0,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Garrido,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,160.0,2.54,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://www.garrido.com.do/p/181184?utm_source=supermercadosrd,Dino Chocolate,Cookies,160.0,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
